2	1789083997.064955978	127.0.0.1	80	127.0.0.1	9362	1
5	1789083997.070601650	127.0.0.1	80	127.0.0.1	37143	1
8	1789083997.073741321	127.0.0.1	80	127.0.0.1	58926	1
11	1789083997.077073920	127.0.0.1	80	127.0.0.1	47565	1
