2	1789083997.064955978	127.0.0.1	80	127.0.0.1	9362	0x0012
3	1789083997.065307613	127.0.0.1	9362	127.0.0.1	80	0x0004
5	1789083997.070601650	127.0.0.1	80	127.0.0.1	37143	0x0012
6	1789083997.071034757	127.0.0.1	37143	127.0.0.1	80	0x0004
8	1789083997.073741321	127.0.0.1	80	127.0.0.1	58926	0x0012
9	1789083997.073801596	127.0.0.1	58926	127.0.0.1	80	0x0004
11	1789083997.077073920	127.0.0.1	80	127.0.0.1	47565	0x0012
12	1789083997.077087989	127.0.0.1	47565	127.0.0.1	80	0x0004
